id,date,pm10,pm2_5,carbon_monoxide,nitrogen_dioxide,sulphur_dioxide,ozone,grass_pollen,air_quality
10688,2023-09-29,9.61,5.85,148.0,1.68,0.32,59.0,0.0,Bonne
10689,2023-09-30,6.01,4.18,151.67,1.64,0.33,58.92,0.0,Bonne
10690,2023-10-01,10.08,7.47,163.71,1.55,0.33,63.0,0.0,Bonne
10691,2023-10-02,13.76,9.54,170.71,1.73,0.58,67.38,0.0,Bonne
10692,2023-10-03,13.76,8.43,160.0,1.76,0.37,73.12,0.0,Bonne
10693,2023-10-04,7.28,4.63,150.42,1.43,0.4,65.0,0.0,Bonne
10694,2023-10-05,9.05,5.43,153.83,1.59,0.43,59.96,0.0,Bonne
10695,2023-10-06,9.45,6.18,163.58,2.0,0.58,56.04,0.0,Bonne
10696,2023-10-07,8.35,6.09,161.25,1.74,0.57,59.33,0.0,Bonne
10697,2023-10-08,12.5,6.45,144.5,1.82,0.37,58.83,0.0,Bonne
10698,2023-10-09,20.1,8.11,134.79,1.74,0.29,56.29,0.0,Acceptable
10699,2023-10-10,22.88,9.67,130.38,2.33,0.28,57.62,0.0,Acceptable
10700,2023-10-11,20.31,9.88,144.17,2.26,0.4,64.88,0.0,Acceptable
10701,2023-10-12,16.19,8.72,139.38,1.83,0.39,63.08,0.0,Bonne
10702,2023-10-13,15.36,9.08,134.08,1.92,0.32,59.08,0.0,Bonne
10703,2023-10-14,14.01,8.1,134.04,1.53,0.22,54.58,0.0,Bonne
10704,2023-10-15,4.19,2.52,141.12,1.3,0.23,63.04,0.0,Bonne
10705,2023-10-16,7.11,3.57,147.88,1.72,0.34,54.83,0.0,Bonne
10706,2023-10-17,8.2,4.72,157.42,2.55,0.27,48.88,0.0,Bonne
10707,2023-10-18,11.99,6.25,140.83,2.05,0.27,56.04,0.0,Bonne
10708,2023-10-19,9.83,5.33,135.58,1.87,0.34,55.71,0.0,Bonne
10709,2023-10-20,3.9,2.42,126.96,1.94,0.4,66.75,0.0,Bonne
10710,2023-10-21,4.25,2.33,153.58,1.32,0.14,52.0,0.0,Bonne
10711,2023-10-22,4.55,2.59,145.79,1.27,0.13,43.04,0.0,Bonne
10712,2023-10-23,16.93,6.6,136.12,1.97,0.24,60.96,0.0,Bonne
10713,2023-10-24,8.49,4.49,135.46,1.9,0.1,61.25,0.0,Bonne
10714,2023-10-25,4.95,2.59,146.79,2.07,0.16,43.5,0.0,Bonne
10715,2023-10-26,4.89,2.8,147.38,2.45,0.17,46.42,0.0,Bonne
10716,2023-10-27,3.82,2.07,138.75,1.62,0.16,57.71,0.0,Bonne
10717,2023-10-28,5.44,2.92,154.42,1.76,0.24,49.42,0.0,Bonne
10718,2023-10-29,5.56,3.37,134.58,1.56,0.36,63.46,0.0,Bonne
10719,2023-10-30,5.71,3.78,124.46,1.72,0.26,63.04,0.0,Bonne
10720,2023-10-31,3.52,1.95,140.79,1.54,0.14,53.25,0.0,Bonne
10721,2023-11-01,5.67,3.41,148.58,2.36,0.27,41.92,0.0,Bonne
10722,2023-11-02,4.09,2.78,132.71,2.16,0.15,54.08,0.0,Bonne
10723,2023-11-03,3.01,1.83,148.33,1.9,0.09,55.96,0.0,Bonne
10724,2023-11-04,3.32,2.05,144.21,2.0,0.1,45.25,0.0,Bonne
8861,2023-07-02,7.05,4.37,144.96,0.75,0.06,62.88,8.15,Bonne
8862,2023-07-03,8.68,5.66,150.88,0.88,0.13,66.88,10.28,Bonne
8863,2023-07-04,5.93,3.27,113.17,0.93,0.13,56.33,9.62,Bonne
8864,2023-07-05,8.03,3.85,116.96,1.15,0.09,48.88,14.43,Bonne
8865,2023-07-06,10.0,4.3,117.29,1.16,0.11,49.71,10.78,Bonne
8866,2023-07-07,12.16,6.33,127.46,1.65,0.26,67.79,12.2,Bonne
8867,2023-07-08,13.62,7.42,136.29,1.2,0.38,80.96,9.28,Bonne
8868,2023-07-09,17.85,9.34,148.71,1.45,0.43,77.79,12.42,Bonne
8869,2023-07-10,23.05,11.56,154.0,1.35,0.4,79.12,10.39,Acceptable
8870,2023-07-11,23.96,12.2,145.67,1.55,0.43,83.42,11.49,Acceptable
8871,2023-07-12,41.29,16.2,132.38,1.52,0.44,77.0,10.19,Acceptable
8872,2023-07-13,10.7,5.15,124.62,1.28,0.12,58.92,4.64,Bonne
8873,2023-07-14,6.38,3.39,123.04,1.53,0.31,74.79,12.8,Bonne
8874,2023-07-15,12.5,7.03,128.0,1.4,0.45,81.12,8.73,Bonne
8875,2023-07-16,13.33,7.55,126.25,0.92,0.3,73.29,6.94,Bonne
8876,2023-07-17,16.41,8.8,129.79,1.29,0.29,70.62,8.1,Bonne
8877,2023-07-18,23.23,10.38,123.08,1.61,0.47,72.67,8.64,Acceptable
8878,2023-07-19,26.22,12.09,135.96,1.28,0.45,76.29,8.57,Acceptable
8879,2023-07-20,10.4,5.48,131.62,1.09,0.18,78.75,8.4,Bonne
8880,2023-07-21,8.34,4.55,123.62,1.3,0.16,73.08,8.52,Bonne
8881,2023-07-22,7.29,4.11,126.79,1.12,0.11,75.71,6.73,Bonne
8882,2023-07-23,9.44,5.95,128.67,1.25,0.26,74.08,7.31,Bonne
8883,2023-07-24,18.38,9.12,127.12,1.22,0.4,81.75,4.67,Bonne
