id_diabete,annee,patho_niv1,patho_niv2,patho_niv3,top,region,dept,ntop,npop,prevalence,libelle_classe_age,libelle_sexe
977,2020,Diabete,Diabete,Diabete,DIA_CAT_CAT,2,999,260,7440,3.466,de 40 a  44 ans,hommes
978,2020,Diabete,Diabete,Diabete,DIA_CAT_CAT,4,974,1220,26640,4.562,de 40 a  44 ans,hommes
979,2020,Diabete,Diabete,Diabete,DIA_CAT_CAT,4,999,1220,26640,4.562,de 40 a  44 ans,hommes
980,2020,Diabete,Diabete,Diabete,DIA_CAT_CAT,6,999,180,3360,5.323,de 40 a  44 ans,hommes
981,2020,Diabete,Diabete,Diabete,DIA_CAT_CAT,11,75,1330,68960,1.929,de 40 a  44 ans,hommes
982,2020,Diabete,Diabete,Diabete,DIA_CAT_CAT,11,78,1190,47030,2.535,de 40 a  44 ans,hommes
983,2020,Diabete,Diabete,Diabete,DIA_CAT_CAT,11,94,1310,44460,2.935,de 40 a  44 ans,hommes
984,2020,Diabete,Diabete,Diabete,DIA_CAT_CAT,11,95,1510,41770,3.603,de 40 a  44 ans,hommes
985,2020,Diabete,Diabete,Diabete,DIA_CAT_CAT,24,28,330,12090,2.738,de 40 a  44 ans,hommes
986,2020,Diabete,Diabete,Diabete,DIA_CAT_CAT,27,39,140,6820,2.01,de 40 a  44 ans,hommes
987,2020,Diabete,Diabete,Diabete,DIA_CAT_CAT,27,58,130,4630,2.854,de 40 a  44 ans,hommes
988,2020,Diabete,Diabete,Diabete,DIA_CAT_CAT,27,71,330,13710,2.4,de 40 a  44 ans,hommes
989,2020,Diabete,Diabete,Diabete,DIA_CAT_CAT,27,999,1710,74250,2.302,de 40 a  44 ans,hommes
990,2020,Diabete,Diabete,Diabete,DIA_CAT_CAT,28,27,450,17090,2.633,de 40 a  44 ans,hommes
991,2020,Diabete,Diabete,Diabete,DIA_CAT_CAT,28,50,250,12460,1.999,de 40 a  44 ans,hommes
992,2020,Diabete,Diabete,Diabete,DIA_CAT_CAT,28,61,160,6660,2.357,de 40 a  44 ans,hommes
993,2020,Diabete,Diabete,Diabete,DIA_CAT_CAT,28,999,2040,89550,2.274,de 40 a  44 ans,hommes
994,2020,Diabete,Diabete,Diabete,DIA_CAT_CAT,32,999,4810,171930,2.795,de 40 a  44 ans,hommes
995,2020,Diabete,Diabete,Diabete,DIA_CAT_CAT,44,51,390,15580,2.522,de 40 a  44 ans,hommes
996,2020,Diabete,Diabete,Diabete,DIA_CAT_CAT,44,52,100,4240,2.314,de 40 a  44 ans,hommes
997,2020,Diabete,Diabete,Diabete,DIA_CAT_CAT,52,44,730,45470,1.606,de 40 a  44 ans,hommes
998,2020,Diabete,Diabete,Diabete,DIA_CAT_CAT,52,72,320,14870,2.159,de 40 a  44 ans,hommes
999,2020,Diabete,Diabete,Diabete,DIA_CAT_CAT,52,999,1980,111390,1.781,de 40 a  44 ans,hommes
